,Website,Total Img Count,Optimized Img Count,Actual Bytes,Transferred Bytes,q-75,q-70,q-50,q-30,q-10
171,twitter.com,1.0,1.0,6010349.0,2004194.0,2004194.0,2004194.0,1987448.0,1949494.0,1896136.0
172,linguee.com,15.0,8.0,1223091.0,749110.0,419245.0,410135.0,377675.0,344637.0,306831.0
173,gamespot.com,84.0,76.0,9833989.0,3712073.0,2962456.0,2943312.0,2883324.0,2820612.0,2754852.0
174,ouo.io,11.0,11.0,1256815.0,556568.0,508491.0,496971.0,484510.0,466924.0,451772.0
175,zhanqi.tv,78.0,77.0,4984957.0,3756657.0,1102842.0,1070938.0,968402.0,862446.0,748354.0
176,filimo.com,78.0,75.0,4867216.0,3221587.0,1614859.0,1561945.0,1384845.0,1195233.0,993087.0
177,fidelity.com,37.0,10.0,3891863.0,1077023.0,1072569.0,1072539.0,1072273.0,1071903.0,1071251.0
178,repubblica.it,20.0,16.0,2276341.0,813659.0,785720.0,779448.0,750900.0,717210.0,691316.0
179,timeanddate.com,18.0,11.0,1536310.0,660627.0,599491.0,597553.0,589227.0,583564.0,575544.0
180,huffpost.com,115.0,115.0,10247546.0,2991922.0,2901708.0,2897309.0,2880105.0,2861265.0,2843705.0
181,symbolab.com,8.0,3.0,2716651.0,993086.0,985216.0,982498.0,974012.0,962619.0,953277.0
182,javatpoint.com,72.0,70.0,783929.0,396040.0,333915.0,331907.0,324790.0,316496.0,307368.0
183,afip.gob.ar,51.0,4.0,2322027.0,2329776.0,2270847.0,2267693.0,2256647.0,2234397.0,2221411.0
184,vimeo.com,15.0,11.0,4147955.0,1345301.0,1342180.0,1342180.0,1342180.0,1342180.0,1342180.0
185,6.cn,54.0,24.0,1773775.0,659142.0,586723.0,585331.0,580505.0,575045.0,569443.0
186,huanqiu.com,112.0,81.0,6466752.0,4635299.0,2252495.0,2211621.0,2074643.0,1935473.0,1782285.0
187,pchome.com.tw,226.0,192.0,13025471.0,8466169.0,4201678.0,4062058.0,3592594.0,3106604.0,2586660.0
188,rbc.ru,31.0,17.0,2662165.0,1110774.0,1075377.0,1071453.0,1051951.0,1028337.0,999385.0
189,euronews.com,186.0,144.0,15036732.0,2706091.0,2454463.0,2435121.0,2358413.0,2277541.0,2184533.0
190,kknews.cc,41.0,29.0,3224517.0,835544.0,817229.0,815808.0,808852.0,797763.0,779763.0
191,kq36.com,9.0,6.0,975652.0,359001.0,349038.0,349032.0,348998.0,348956.0,348910.0
192,haberturk.com,41.0,25.0,2006690.0,767503.0,698159.0,693049.0,672951.0,652773.0,630423.0
193,shomanews.com,29.0,28.0,1625718.0,1097186.0,1028055.0,1023429.0,1006149.0,988005.0,926409.0
194,liputan6.com,61.0,44.0,4473426.0,1551560.0,1486269.0,1485163.0,1480648.0,1473841.0,1457565.0
195,google.nl,20.0,4.0,1499378.0,520506.0,518761.0,518645.0,518133.0,515737.0,508799.0
196,theepochtimes.com,203.0,173.0,9448158.0,7243551.0,4571494.0,4545812.0,4453418.0,4362114.0,4270016.0
197,ladbible.com,186.0,46.0,15765844.0,3386951.0,3148368.0,3146614.0,3137094.0,3117806.0,3099302.0
198,quora.com,4.0,3.0,4743052.0,1371851.0,1309288.0,1306260.0,1296754.0,1285780.0,1276744.0
199,td.com,62.0,14.0,8661093.0,4694683.0,2159152.0,2142772.0,2094380.0,2047020.0,2001892.0
200,hops.id,76.0,66.0,3950881.0,2096657.0,1284490.0,1267200.0,1206723.0,1140675.0,1057596.0
201,hi.ru,65.0,57.0,5007124.0,1713761.0,1449867.0,1430665.0,1366865.0,1301396.0,1226772.0
202,coursera.org,222.0,214.0,7120367.0,2623558.0,2116164.0,2113274.0,2100943.0,2086163.0,2073243.0
203,chip.de,46.0,24.0,2547256.0,1047089.0,960073.0,956231.0,943139.0,929879.0,915051.0
204,wordpress.org,13.0,9.0,2042548.0,1457886.0,1026776.0,1000392.0,911322.0,817606.0,715326.0
205,donya.e.eqtesad.com,31.0,28.0,2661280.0,1338698.0,1288872.0,1285051.0,1258768.0,1205014.0,1112883.0
206,thehill.com,39.0,27.0,9358724.0,4414555.0,2289260.0,2278318.0,2236802.0,2196336.0,2152838.0
207,huawei.com,24.0,20.0,2984976.0,1826365.0,1130050.0,1100924.0,1012192.0,930382.0,849930.0
208,amazon.co.uk,115.0,1.0,2244479.0,1188706.0,1186874.0,1186678.0,1186088.0,1185412.0,1184702.0
209,kp.ru,29.0,22.0,2798701.0,1285908.0,1067762.0,1061462.0,1040134.0,1011790.0,983879.0
210,ecosia.org,10.0,1.0,1834146.0,1064983.0,1064448.0,1064426.0,1064310.0,1064188.0,1064072.0
211,accuweather.com,23.0,2.0,5403335.0,1910748.0,1895360.0,1895168.0,1894512.0,1893962.0,1893512.0
212,brainly.com,28.0,19.0,3407903.0,1022282.0,984862.0,981496.0,970492.0,959484.0,947888.0
213,unsplash.com,34.0,10.0,2972299.0,1572388.0,1560827.0,1560827.0,1560827.0,1560827.0,1560827.0
214,hnu.edu.cn,48.0,47.0,4309415.0,4245940.0,655929.0,626165.0,522663.0,421193.0,312767.0
215,51sole.com,114.0,112.0,6982444.0,6442005.0,1271875.0,1230803.0,1097517.0,958649.0,819741.0
216,imdb.com,62.0,44.0,7098766.0,2767360.0,2439616.0,2377066.0,2158208.0,1933238.0,1694090.0
217,trulia.com,0.0,1.0,541172.0,458582.0,458136.0,458136.0,458136.0,458136.0,458136.0
218,jrj.com.cn,67.0,67.0,1393268.0,1419558.0,367726.0,349704.0,286556.0,221272.0,150226.0
219,allegro.pl,47.0,13.0,1915631.0,1223863.0,1087384.0,1084216.0,1073846.0,1061732.0,1047792.0
220,kakao.com,27.0,27.0,4756513.0,3971074.0,2733697.0,2697363.0,2618375.0,2551509.0,2493669.0
221,vseigru.net,32.0,31.0,1415627.0,692045.0,527909.0,522847.0,504161.0,484237.0,461495.0
222,google.co.kr,20.0,3.0,2130135.0,1089100.0,1088966.0,1088968.0,1088902.0,1087032.0,1080528.0
223,chinabm.cn,502.0,496.0,6055586.0,6015546.0,2034105.0,1994425.0,1856024.0,1695381.0,1519692.0
224,paytm.com,32.0,12.0,2796330.0,1049176.0,1040465.0,1040153.0,1038650.0,1036817.0,1034807.0
225,58.com,19.0,13.0,358018.0,190246.0,156191.0,154949.0,151121.0,146905.0,142579.0
226,t.me,16.0,11.0,1106043.0,841762.0,434475.0,428653.0,408931.0,387371.0,364455.0
227,depositphotos.com,37.0,19.0,5849970.0,2001216.0,1608441.0,1587323.0,1507967.0,1431270.0,1344264.0
228,google.at,20.0,4.0,1614037.0,581203.0,579458.0,579342.0,578830.0,576434.0,569496.0
229,business.site,15.0,12.0,2927040.0,956712.0,890886.0,886248.0,871894.0,856408.0,841864.0
230,mufg.jp,31.0,28.0,7902906.0,4574495.0,1517513.0,1487925.0,1386315.0,1292537.0,1190745.0
231,pinterest.com,50.0,36.0,9808426.0,5051755.0,4404831.0,4341869.0,4134263.0,3907433.0,3682565.0
232,youku.com,53.0,46.0,8689155.0,7415656.0,3772039.0,3756409.0,3688629.0,3614933.0,3549269.0
233,ih5.cn,29.0,17.0,10102414.0,6434836.0,4854745.0,4844451.0,4810005.0,4770733.0,4728115.0
234,thefreedictionary.com,121.0,93.0,7183451.0,2205553.0,2117685.0,2116086.0,2111134.0,2104862.0,2089220.0
235,patch.com,25.0,22.0,3669522.0,1367128.0,1347459.0,1340289.0,1304293.0,1235069.0,1172601.0
236,roblox.com,6.0,6.0,4339610.0,1393606.0,1087384.0,1086582.0,1083437.0,1079907.0,1076149.0
237,newegg.com,123.0,123.0,7637130.0,3716795.0,2023085.0,2020637.0,2012095.0,2003095.0,1992909.0
238,desmos.com,16.0,16.0,2205232.0,1607525.0,598869.0,587035.0,548837.0,508279.0,470605.0
239,sonyliv.com,19.0,12.0,13075062.0,3551631.0,3532708.0,3531406.0,3526412.0,3518246.0,3513020.0
240,duolingo.com,27.0,17.0,4017981.0,1248154.0,1220732.0,1220732.0,1220732.0,1220732.0,1220732.0
241,urdupoint.com,88.0,75.0,4062199.0,1702971.0,1553589.0,1547779.0,1526913.0,1504065.0,1477965.0
242,163.com,166.0,44.0,4646460.0,2707354.0,2606329.0,2598573.0,2571721.0,2543179.0,2505664.0
243,redbubble.com,58.0,41.0,8799598.0,3096814.0,2640734.0,2612996.0,2520826.0,2428942.0,2331077.0
244,olx.in,57.0,48.0,5156885.0,2173161.0,2165945.0,2165761.0,2164718.0,2119662.0,1852599.0
245,freepik.es,25.0,16.0,6498767.0,2244703.0,1879117.0,1867511.0,1827831.0,1785941.0,1743871.0
246,edmodo.com,18.0,13.0,8307325.0,1964644.0,1922861.0,1916871.0,1901474.0,1886652.0,1869390.0
247,vecteezy.com,31.0,28.0,5400206.0,2003254.0,1763559.0,1758209.0,1739425.0,1721291.0,1702235.0
248,mydrivers.com,3.0,3.0,19487.0,20738.0,8901.0,8837.0,8547.0,8247.0,7897.0
249,mheducation.com,24.0,18.0,4743317.0,2604218.0,1987458.0,1976112.0,1937694.0,1900098.0,1859264.0
